DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
06.01.2021;13:45;14:00;50,660;;50,660
06.01.2021;14:00;14:15;52,620;;52,620
06.01.2021;14:15;14:30;50,340;;50,340
06.01.2021;14:30;14:45;59,320;;59,320
06.01.2021;14:45;15:00;61,410;;61,410
06.01.2021;15:00;15:15;59,240;;59,240
06.01.2021;15:15;15:30;57,460;;57,460
06.01.2021;15:30;15:45;59,570;;59,570
06.01.2021;15:45;16:00;56,720;;56,720
06.01.2021;16:00;16:15;63,380;;63,380
06.01.2021;16:15;16:30;61,280;;61,280
06.01.2021;16:30;16:45;65,060;;65,060
06.01.2021;16:45;17:00;72,590;;72,590
06.01.2021;17:00;17:15;67,440;;67,440
06.01.2021;17:15;17:30;76,100;;76,100
06.01.2021;17:30;17:45;76,940;;76,940
06.01.2021;17:45;18:00;74,690;;74,690
06.01.2021;18:00;18:15;72,510;;72,510
06.01.2021;18:15;18:30;74,800;;74,800
06.01.2021;18:30;18:45;70,820;;70,820
06.01.2021;18:45;19:00;70,480;;70,480
06.01.2021;19:00;19:15;76,760;;76,760
06.01.2021;19:15;19:30;71,370;;71,370
06.01.2021;19:30;19:45;75,220;;75,220
